step,train_acc
0,0.2890625
10,0.34375
20,0.296875
30,0.265625
40,0.2578125
50,0.3125
60,0.328125
70,0.3359375
80,0.3203125
90,0.328125
100,0.2578125
110,0.328125
120,0.3046875
130,0.2890625
140,0.2890625
150,0.3515625
160,0.28125
170,0.265625
180,0.2578125
190,0.3515625
200,0.296875
210,0.25
220,0.2734375
230,0.2265625
240,0.328125
250,0.2578125
260,0.3125
270,0.3046875
280,0.296875
290,0.28125
300,0.3046875
310,0.2109375
320,0.2578125
330,0.296875
340,0.2578125
350,0.3203125
360,0.3046875
370,0.28125
380,0.2734375
390,0.328125
400,0.296875
410,0.3203125
420,0.2890625
430,0.3671875
440,0.28125
450,0.25
460,0.2578125
470,0.296875
480,0.265625
490,0.21875
500,0.296875
510,0.3828125
520,0.296875
530,0.2734375
540,0.2890625
550,0.2890625
560,0.328125
570,0.3359375
580,0.3515625
590,0.2421875
600,0.28125
610,0.296875
620,0.234375
630,0.265625
640,0.3203125
650,0.2890625
660,0.265625
670,0.3203125
680,0.2734375
690,0.2265625
700,0.265625
710,0.25
720,0.34375
730,0.3203125
740,0.1796875
750,0.2890625
760,0.359375
770,0.28125
780,0.3671875
790,0.234375
800,0.2734375
810,0.3046875
820,0.234375
830,0.296875
840,0.3046875
850,0.3046875
860,0.328125
870,0.3125
880,0.296875
890,0.28125
900,0.2421875
910,0.3046875
920,0.359375
930,0.34375
940,0.2734375
950,0.234375
960,0.359375
970,0.2890625
980,0.296875
990,0.3203125
