step,train_acc
0,0.296875
10,0.296875
20,0.3046875
30,0.1875
40,0.296875
50,0.3125
60,0.3671875
70,0.3046875
80,0.28125
90,0.3125
100,0.296875
110,0.3359375
120,0.3125
130,0.296875
140,0.2890625
150,0.3359375
160,0.2734375
170,0.2421875
180,0.3671875
190,0.3046875
200,0.234375
210,0.265625
220,0.3125
230,0.3203125
240,0.21875
250,0.296875
260,0.3046875
270,0.2578125
280,0.34375
290,0.3515625
300,0.3125
310,0.3203125
320,0.3125
330,0.3046875
340,0.3125
350,0.21875
360,0.2734375
370,0.3046875
380,0.296875
390,0.328125
400,0.3515625
410,0.296875
420,0.28125
430,0.3828125
440,0.3046875
450,0.3046875
460,0.28125
470,0.328125
480,0.328125
490,0.3046875
500,0.2109375
510,0.2578125
520,0.3046875
530,0.2578125
540,0.296875
550,0.3203125
560,0.328125
570,0.375
580,0.3203125
590,0.296875
600,0.2578125
610,0.375
620,0.2890625
630,0.34375
640,0.3671875
650,0.265625
660,0.2890625
670,0.3359375
680,0.3125
690,0.3203125
700,0.2578125
710,0.2734375
720,0.3046875
730,0.28125
740,0.234375
750,0.28125
760,0.3203125
770,0.28125
780,0.34375
790,0.28125
800,0.2890625
810,0.328125
820,0.2578125
830,0.3203125
840,0.3046875
850,0.3203125
860,0.265625
870,0.3125
880,0.3125
890,0.265625
900,0.2578125
910,0.3203125
920,0.3203125
930,0.265625
940,0.1875
950,0.3515625
960,0.28125
970,0.3125
980,0.3125
990,0.3046875
