step,loss
0,0.7604239
100,0.23712786
200,0.10850074
300,0.08219352
400,0.07880096
500,0.04878062
600,0.042780653
700,0.030347273
800,0.037945103
900,0.029463658
1000,0.02645462
1100,0.026122903
1200,0.042691194
1300,0.03866654
1400,0.027848708
1500,0.0249744
1600,0.028255614
1700,0.023590533
1800,0.025561597
1900,0.028895868
2000,0.02957225
2100,0.024688292
2200,0.020799594
2300,0.021456879
2400,0.02252136
2500,0.021107953
2600,0.023738865
2700,0.026293091
2800,0.024859011
2900,0.020304067
3000,0.033389598
3100,0.024135502
3200,0.01592018
3300,0.024227358
3400,0.03652369
3500,0.023390297
3600,0.020033317
3700,0.024761999
3800,0.02458745
3900,0.026950408
4000,0.024202334
4100,0.019904397
4200,0.028745685
4300,0.018597988
4400,0.0215774
4500,0.03873302
4600,0.022605315
4700,0.021349309
4800,0.021073218
4900,0.020921614
5000,0.019551592
5100,0.016700944
5200,0.02172023
5300,0.022828277
5400,0.02064595
5500,0.018579198
5600,0.017087946
5700,0.018725704
5800,0.014186224
5900,0.015288353
6000,0.017326714
6100,0.017965762
6200,0.012547612
6300,0.015379526
6400,0.020225098
6500,0.018806767
6600,0.015178498
6700,0.0117502
6800,0.011809847
6900,0.015974801
7000,0.016780362
7100,0.015301811
7200,0.019654457
7300,0.025758248
7400,0.014631804
7500,0.018254908
