,precision,recall,f1-score,support
0,0.8333333333333334,0.625,0.7142857142857143,8.0
1,1.0,0.875,0.9333333333333333,8.0
2,0.8888888888888888,1.0,0.9411764705882353,8.0
3,1.0,0.875,0.9333333333333333,8.0
4,0.8888888888888888,1.0,0.9411764705882353,8.0
5,1.0,0.875,0.9333333333333333,8.0
6,0.8571428571428571,0.75,0.7999999999999999,8.0
7,0.7,0.875,0.7777777777777777,8.0
8,0.8,1.0,0.888888888888889,8.0
9,0.75,0.75,0.75,8.0
10,1.0,0.75,0.8571428571428571,8.0
11,1.0,0.625,0.7692307692307693,8.0
12,0.7,0.875,0.7777777777777777,8.0
13,0.7,0.875,0.7777777777777777,8.0
14,1.0,0.875,0.9333333333333333,8.0
15,1.0,0.875,0.9333333333333333,8.0
16,0.7777777777777778,0.875,0.823529411764706,8.0
17,0.7777777777777778,0.875,0.823529411764706,8.0
18,1.0,1.0,1.0,8.0
19,1.0,0.625,0.7692307692307693,8.0
20,0.7,0.875,0.7777777777777777,8.0
21,1.0,1.0,1.0,8.0
22,0.6666666666666666,1.0,0.8,8.0
23,0.7142857142857143,0.625,0.6666666666666666,8.0
24,0.7777777777777778,0.875,0.823529411764706,8.0
25,1.0,0.875,0.9333333333333333,8.0
26,0.8571428571428571,0.75,0.7999999999999999,8.0
27,1.0,1.0,1.0,8.0
accuracy,0.8526785714285714,0.8526785714285714,0.8526785714285714,0.8526785714285714
macro avg,0.871060090702948,0.8526785714285714,0.8528392126081201,224.0
weighted avg,0.871060090702948,0.8526785714285714,0.8528392126081201,224.0
