,precision,recall,f1-score,support
0,0.8,0.8,0.8000000000000002,5.0
1,0.8333333333333334,1.0,0.9090909090909091,5.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,5.0
4,0.7142857142857143,1.0,0.8333333333333333,5.0
5,1.0,1.0,1.0,5.0
6,1.0,1.0,1.0,5.0
7,0.8,0.8,0.8000000000000002,5.0
8,0.8,0.8,0.8000000000000002,5.0
9,0.8333333333333334,1.0,0.9090909090909091,5.0
10,1.0,1.0,1.0,5.0
11,0.7142857142857143,1.0,0.8333333333333333,5.0
12,1.0,1.0,1.0,5.0
13,1.0,0.6,0.7499999999999999,5.0
14,1.0,0.8,0.888888888888889,5.0
15,1.0,1.0,1.0,5.0
16,0.8333333333333334,1.0,0.9090909090909091,5.0
17,1.0,1.0,1.0,5.0
18,1.0,1.0,1.0,5.0
19,1.0,0.6,0.7499999999999999,5.0
20,1.0,0.6,0.7499999999999999,5.0
21,0.8,0.8,0.8000000000000002,5.0
22,0.8,0.8,0.8000000000000002,5.0
23,1.0,1.0,1.0,5.0
24,0.8333333333333334,1.0,0.9090909090909091,5.0
25,0.8,0.8,0.8000000000000002,5.0
26,0.8,0.8,0.8000000000000002,5.0
27,1.0,0.8,0.888888888888889,5.0
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
macro avg,0.9057823129251702,0.892857142857143,0.890386002886003,140.0
weighted avg,0.9057823129251701,0.8928571428571429,0.8903860028860029,140.0
