,precision,recall,f1-score,support
0,0.8333333333333334,1.0,0.9090909090909091,5.0
1,1.0,1.0,1.0,8.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,6.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,6.0
8,1.0,1.0,1.0,8.0
9,1.0,1.0,1.0,9.0
10,1.0,1.0,1.0,8.0
11,1.0,1.0,1.0,11.0
12,1.0,1.0,1.0,6.0
13,1.0,1.0,1.0,5.0
14,1.0,1.0,1.0,8.0
15,1.0,1.0,1.0,7.0
16,1.0,1.0,1.0,9.0
17,1.0,1.0,1.0,9.0
18,1.0,1.0,1.0,5.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,1.0,0.8888888888888888,0.9411764705882353,9.0
22,1.0,1.0,1.0,9.0
23,1.0,1.0,1.0,10.0
24,1.0,1.0,1.0,9.0
25,1.0,1.0,1.0,6.0
26,1.0,1.0,1.0,5.0
27,1.0,1.0,1.0,5.0
accuracy,0.995,0.995,0.995,0.995
macro avg,0.9940476190476192,0.996031746031746,0.9946524064171124,200.0
weighted avg,0.9958333333333335,0.995,0.9950802139037432,200.0
