,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,0.875,0.875,0.875,8.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,6.0
6,0.8333333333333334,1.0,0.9090909090909091,5.0
7,1.0,1.0,1.0,6.0
8,1.0,0.875,0.9333333333333333,8.0
9,1.0,1.0,1.0,8.0
10,1.0,1.0,1.0,8.0
11,1.0,1.0,1.0,12.0
12,1.0,1.0,1.0,6.0
13,1.0,1.0,1.0,5.0
14,1.0,0.875,0.9333333333333333,8.0
15,1.0,1.0,1.0,7.0
16,1.0,0.8888888888888888,0.9411764705882353,9.0
17,0.8181818181818182,1.0,0.9,9.0
18,1.0,0.8,0.888888888888889,5.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,1.0,1.0,1.0,9.0
22,1.0,1.0,1.0,9.0
23,1.0,1.0,1.0,10.0
24,0.9,1.0,0.9473684210526316,9.0
25,1.0,1.0,1.0,6.0
26,1.0,1.0,1.0,5.0
27,1.0,1.0,1.0,6.0
accuracy,0.9752475247524752,0.9752475247524752,0.9752475247524752,0.9752475247524752
macro avg,0.9795183982683983,0.9754960317460318,0.9760068341531188,202.0
weighted avg,0.9783678367836783,0.9752475247524752,0.9753472096435651,202.0
