,f1-score,precision,recall,support
0,1.0,1.0,1.0,6.0
1,0.9333333333333333,1.0,0.875,8.0
2,1.0,1.0,1.0,6.0
3,0.9,0.8181818181818182,1.0,9.0
4,0.8571428571428571,0.75,1.0,6.0
5,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
6,1.0,1.0,1.0,5.0
7,0.9090909090909091,1.0,0.8333333333333334,6.0
8,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
9,1.0,1.0,1.0,8.0
10,1.0,1.0,1.0,8.0
11,0.9090909090909091,1.0,0.8333333333333334,12.0
12,1.0,1.0,1.0,6.0
13,0.9090909090909091,0.8333333333333334,1.0,5.0
14,1.0,1.0,1.0,9.0
15,0.8750000000000001,0.7777777777777778,1.0,7.0
16,0.9473684210526316,0.9,1.0,9.0
17,1.0,1.0,1.0,9.0
18,1.0,1.0,1.0,6.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,0.9411764705882353,1.0,0.8888888888888888,9.0
22,0.9411764705882353,1.0,0.8888888888888888,9.0
23,1.0,1.0,1.0,10.0
24,0.888888888888889,1.0,0.8,10.0
25,0.923076923076923,0.8571428571428571,1.0,6.0
26,1.0,1.0,1.0,6.0
27,0.9090909090909091,1.0,0.8333333333333334,6.0
accuracy,0.9471153846153846,0.9471153846153846,0.9471153846153846,0.9471153846153846
macro avg,0.9487767579734631,0.9520949288806433,0.9526785714285715,208.0
weighted avg,0.9475625137527526,0.9553730991230991,0.9471153846153846,208.0
