,f1-score,precision,recall,support
0,1.0,1.0,1.0,6.0
1,0.875,0.875,0.875,8.0
2,0.888888888888889,1.0,0.8,5.0
3,0.9411764705882353,1.0,0.8888888888888888,9.0
4,0.923076923076923,0.8571428571428571,1.0,6.0
5,0.923076923076923,0.8571428571428571,1.0,6.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,5.0
8,1.0,1.0,1.0,9.0
9,0.9411764705882353,0.8888888888888888,1.0,8.0
10,1.0,1.0,1.0,8.0
11,0.9565217391304348,1.0,0.9166666666666666,12.0
12,1.0,1.0,1.0,6.0
13,0.9090909090909091,0.8333333333333334,1.0,5.0
14,0.9411764705882353,1.0,0.8888888888888888,9.0
15,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
16,0.9473684210526316,0.9,1.0,9.0
17,0.9411764705882353,1.0,0.8888888888888888,9.0
18,0.9090909090909091,1.0,0.8333333333333334,6.0
19,0.923076923076923,0.8571428571428571,1.0,6.0
20,0.923076923076923,0.8571428571428571,1.0,6.0
21,1.0,1.0,1.0,9.0
22,1.0,1.0,1.0,8.0
23,0.9473684210526316,1.0,0.9,10.0
24,0.9473684210526316,1.0,0.9,10.0
25,1.0,1.0,1.0,5.0
26,1.0,1.0,1.0,6.0
27,0.923076923076923,0.8571428571428571,1.0,6.0
accuracy,0.9509803921568627,0.9509803921568627,0.9509803921568627,0.9509803921568627
macro avg,0.950640395151409,0.9514314058956916,0.95531462585034,204.0
weighted avg,0.951126831801137,0.9563336445689387,0.9509803921568627,204.0
