step,loss
0,0.7679281
100,0.34716827
200,0.1663126
300,0.13139316
400,0.1183363
500,0.04772254
600,0.04850996
700,0.05164282
800,0.059563432
900,0.043442372
1000,0.029723661
1100,0.025531542
1200,0.023951694
1300,0.021296585
1400,0.027556214
1500,0.026242984
1600,0.020245183
1700,0.023559723
1800,0.025912952
1900,0.028073246
2000,0.026782628
2100,0.026413672
2200,0.022275146
2300,0.028114898
2400,0.023923308
2500,0.026709942
2600,0.023592217
2700,0.027389651
2800,0.021554893
2900,0.029343277
3000,0.018365037
3100,0.016040323
3200,0.026301865
3300,0.02584436
3400,0.027591256
3500,0.025272781
3600,0.025565814
3700,0.03630353
3800,0.031968266
3900,0.02683233
4000,0.031116342
4100,0.015890094
4200,0.020139948
4300,0.018535998
4400,0.02149205
